"<5.43 23:53:16> [START_TIMER] 1#107#120", -- [1]
"<15.46 23:53:26> [START_TIMER] 1#97#120", -- [2]
"<25.44 23:53:36> [START_TIMER] 1#87#120", -- [3]
"<35.44 23:53:46> [START_TIMER] 1#77#120", -- [4]
"<45.45 23:53:56> [START_TIMER] 1#67#120", -- [5]
"<52.81 23:54:03> [CHAT_MSG_BG_SYSTEM_NEUTRAL] The battle begins in 1 minute!######0#0##0#546#nil#0#false#false#false#false", -- [6]
"<55.45 23:54:06> [START_TIMER] 1#57#120", -- [7]
"<65.46 23:54:16> [START_TIMER] 1#47#120", -- [8]
"<75.46 23:54:26> [START_TIMER] 1#37#120", -- [9]
"<82.82 23:54:33> [CHAT_MSG_BG_SYSTEM_NEUTRAL] The battle begins in 30 seconds!######0#0##0#552#nil#0#false#false#false#false", -- [10]
"<85.46 23:54:36> [START_TIMER] 1#27#120", -- [11]
"<95.46 23:54:46> [START_TIMER] 1#17#120", -- [12]
"<112.80 23:55:03> [CHAT_MSG_BG_SYSTEM_NEUTRAL] The battle has begun!######0#0##0#556#nil#0#false#false#false#false", -- [13]
"<142.87 23:55:33> [UPDATE_UI_WIDGET] widgetID:1686, widgetType:14, widgetSetID:1", -- [14]
"<144.44 23:55:35> [UPDATE_UI_WIDGET] widgetID:1686, widgetType:14, widgetSetID:1", -- [15]
"<152.73 23:55:43> [UPDATE_UI_WIDGET] widgetID:1686, widgetType:14, widgetSetID:1", -- [16]
"<207.96 23:56:38> [UPDATE_UI_WIDGET] widgetID:1686, widgetType:14, widgetSetID:1", -- [17]
"<207.99 23:56:38> [CHAT_MSG_BG_SYSTEM_ALLIANCE] The Alliance has taken control of the Pandaren Mine!####Snowdog-Frostmane##0#0##0#569#nil#0#false#false#false#false", -- [18]
"<209.16 23:56:40> [UPDATE_UI_WIDGET] widgetID:1686, widgetType:14, widgetSetID:1", -- [19]
"<209.19 23:56:40> [CHAT_MSG_BG_SYSTEM_HORDE] The |cFFFF0000Horde|r has taken control of the Goblin Mine!####Ragelash-Hellscream##0#0##0#571#nil#0#false#false#false#false", -- [20]
"<212.67 23:56:43> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [22]
"<212.67 23:56:43> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [24]
"<214.44 23:56:45> [UPDATE_UI_WIDGET] widgetID:1686, widgetType:14, widgetSetID:1", -- [25]
"<214.46 23:56:45> [CHAT_MSG_BG_SYSTEM_ALLIANCE] The Alliance has taken control of the Center Mine!####Xout-Exodar##0#0##0#574#nil#0#false#false#false#false", -- [26]
"<217.67 23:56:48> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [28]
"<217.67 23:56:48> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [30]
"<219.79 23:56:50> [CHAT_MSG_BG_SYSTEM_ALLIANCE] The Horde Flag was picked up by Dieselboy-Ravencrest!####Dieselboy-Ravencrest##0#0##0#576#nil#0#false#false#false#false", -- [31]
"<219.80 23:56:50> [UPDATE_UI_WIDGET] widgetID:1686, widgetType:14, widgetSetID:1", -- [32]
"<222.69 23:56:53> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [34]
"<222.69 23:56:53> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [36]
"<227.69 23:56:58> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [38]
"<227.69 23:56:58> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [40]
"<232.71 23:57:03> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [42]
"<232.71 23:57:03> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [44]
"<237.72 23:57:08> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [46]
"<237.72 23:57:08> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [48]
"<242.74 23:57:13> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [50]
"<242.74 23:57:13> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [52]
"<247.78 23:57:18> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [54]
"<247.78 23:57:18> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [56]
"<252.78 23:57:23> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [58]
"<252.78 23:57:23> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [60]
"<257.78 23:57:28> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [62]
"<257.79 23:57:28> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [64]
"<262.78 23:57:33> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [66]
"<262.78 23:57:33> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [68]
"<267.79 23:57:38> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [70]
"<267.79 23:57:38> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [72]
"<272.80 23:57:43> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [74]
"<272.81 23:57:43> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [76]
"<277.82 23:57:48> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [78]
"<277.82 23:57:48> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [80]
"<282.84 23:57:53> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [82]
"<282.84 23:57:53> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [84]
"<287.84 23:57:58> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [86]
"<287.84 23:57:58> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [88]
"<292.85 23:58:03> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [90]
"<292.85 23:58:03> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [92]
"<297.87 23:58:08> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [94]
"<297.87 23:58:08> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [96]
"<302.90 23:58:13> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [98]
"<302.90 23:58:13> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [100]
