"<5.45 23:36:55> [START_TIMER] 1#114#120", -- [1]
"<15.46 23:37:05> [START_TIMER] 1#104#120", -- [2]
"<25.45 23:37:15> [START_TIMER] 1#94#120", -- [3]
"<35.46 23:37:25> [START_TIMER] 1#84#120", -- [4]
"<45.48 23:37:35> [START_TIMER] 1#74#120", -- [5]
"<55.50 23:37:45> [START_TIMER] 1#64#120", -- [6]
"<65.50 23:37:55> [START_TIMER] 1#54#120", -- [7]
"<75.50 23:38:05> [START_TIMER] 1#44#120", -- [8]
"<85.53 23:38:15> [START_TIMER] 1#34#120", -- [9]
"<95.53 23:38:25> [START_TIMER] 1#24#120", -- [10]
"<105.52 23:38:35> [START_TIMER] 1#14#120", -- [11]
"<137.20 23:39:06> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [12]
"<137.20 23:39:06> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [13]
"<137.20 23:39:06> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [14]
"<137.20 23:39:06> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [15]
"<139.62 23:39:09> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [16]
"<140.85 23:39:10> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [17]
"<142.07 23:39:11> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [18]
"<143.29 23:39:12> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [19]
"<145.72 23:39:15> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [20]
"<146.94 23:39:16> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [21]
"<148.15 23:39:17> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [22]
"<150.59 23:39:20> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [23]
"<151.81 23:39:21> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [24]
"<153.01 23:39:22> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [25]
"<155.45 23:39:25> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [26]
"<156.67 23:39:26> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [27]
"<157.88 23:39:27> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [28]
"<159.09 23:39:28> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [29]
"<161.52 23:39:31> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [30]
"<162.73 23:39:32> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [31]
"<163.95 23:39:33> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [32]
"<164.76 23:39:34> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [33]
"<165.95 23:39:35> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [35]
"<166.38 23:39:36> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [36]
"<167.61 23:39:37> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [37]
"<167.97 23:39:37> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [39]
"<168.82 23:39:38> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [40]
"<168.82 23:39:38> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [41]
"<170.00 23:39:39> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [43]
"<170.00 23:39:39> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [45]
"<171.25 23:39:40> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [46]
"<171.66 23:39:41> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [47]
"<172.02 23:39:41> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [49]
"<172.02 23:39:41> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [51]
"<172.45 23:39:42> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [52]
"<174.04 23:39:43> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [54]
"<174.04 23:39:43> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [56]
"<176.03 23:39:45> [UPDATE_UI_WIDGET] widgetID:1672, widgetType:14, widgetSetID:1", -- [57]
"<176.04 23:39:45> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [59]
"<176.04 23:39:45> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [61]
"<177.32 23:39:46> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [62]
"<178.05 23:39:47> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [64]
"<178.05 23:39:47> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [66]
"<179.74 23:39:49> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [67]
"<180.05 23:39:49> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [69]
"<180.05 23:39:49> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [71]
"<180.95 23:39:50> [UPDATE_UI_WIDGET] widgetID:521, widgetType:1, widgetSetID:2", -- [72]
"<182.07 23:39:51> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [74]
"<182.07 23:39:51> [UPDATE_UI_WIDGET] widgetID:2032, widgetType:4, widgetSetID:249", -- [76]
