"<2.34 23:02:23> [START_TIMER] 1#82#120", -- [1]
"<12.38 23:02:33> [START_TIMER] 1#72#120", -- [2]
"<22.38 23:02:43> [START_TIMER] 1#62#120", -- [3]
"<32.38 23:02:53> [START_TIMER] 1#52#120", -- [4]
"<42.34 23:03:03> [START_TIMER] 1#42#120", -- [5]
"<52.34 23:03:13> [START_TIMER] 1#32#120", -- [6]
"<62.35 23:03:23> [START_TIMER] 1#22#120", -- [7]
"<72.40 23:03:33> [START_TIMER] 1#12#120", -- [8]
"<100.93 23:04:01> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [9]
"<102.32 23:04:03> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [10]
"<130.27 23:04:31> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [11]
"<130.27 23:04:31> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [12]
"<160.94 23:05:01> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [13]
"<161.32 23:05:02> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [15]
"<162.33 23:05:03> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [17]
"<163.35 23:05:04> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [19]
"<164.36 23:05:05> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [21]
"<165.38 23:05:06> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [23]
"<166.37 23:05:07> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [25]
"<167.40 23:05:08> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [27]
"<168.40 23:05:09> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [29]
"<169.42 23:05:10> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [31]
"<170.43 23:05:11> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [33]
"<171.43 23:05:12> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [35]
"<172.46 23:05:13> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [37]
"<173.46 23:05:14> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [39]
"<174.49 23:05:15> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [41]
"<175.52 23:05:16> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [43]
"<176.53 23:05:17> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [45]
"<177.56 23:05:18> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [47]
"<178.56 23:05:19> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [49]
"<179.59 23:05:20> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [51]
"<180.59 23:05:21> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [53]
"<181.63 23:05:22> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [55]
"<182.62 23:05:23> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [57]
"<183.64 23:05:24> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [59]
"<184.68 23:05:25> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [61]
"<185.69 23:05:26> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [63]
"<186.70 23:05:27> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [65]
"<187.70 23:05:28> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [67]
"<188.72 23:05:29> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [69]
"<189.73 23:05:30> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [71]
"<190.28 23:05:31> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [72]
"<190.73 23:05:31> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [74]
"<191.76 23:05:32> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [76]
"<192.78 23:05:33> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [78]
"<193.81 23:05:34> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [80]
"<194.82 23:05:35> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [82]
"<195.82 23:05:36> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [84]
"<196.84 23:05:37> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [86]
"<197.87 23:05:38> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [88]
"<198.44 23:05:39> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [89]
"<198.90 23:05:39> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [91]
"<199.92 23:05:40> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [93]
"<200.95 23:05:41> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [95]
"<201.99 23:05:42> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [97]
"<202.99 23:05:43> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [99]
"<204.03 23:05:44> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [101]
"<205.03 23:05:45> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [103]
"<206.04 23:05:46> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [105]
"<207.06 23:05:47> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [107]
"<208.08 23:05:48> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [109]
"<209.11 23:05:49> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [111]
"<210.14 23:05:50> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [113]
"<211.16 23:05:51> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [115]
"<212.19 23:05:52> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [117]
"<213.19 23:05:53> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [119]
"<214.22 23:05:54> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [121]
"<215.24 23:05:55> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [123]
"<216.25 23:05:56> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [125]
"<217.28 23:05:58> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [127]
"<218.29 23:05:59> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [129]
"<219.30 23:06:00> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [131]
"<220.31 23:06:01> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [133]
"<221.34 23:06:02> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [135]
"<222.36 23:06:03> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [137]
"<223.37 23:06:04> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [139]
"<224.41 23:06:05> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [141]
"<225.42 23:06:06> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [143]
"<226.45 23:06:07> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [145]
"<227.45 23:06:08> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [147]
"<228.47 23:06:09> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [149]
"<229.48 23:06:10> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [151]
"<230.48 23:06:11> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [153]
"<231.50 23:06:12> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [155]
"<232.50 23:06:13> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [157]
"<233.51 23:06:14> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [159]
"<234.52 23:06:15> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [161]
"<235.55 23:06:16> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [163]
"<236.57 23:06:17> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [165]
"<237.59 23:06:18> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [167]
"<238.65 23:06:19> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [169]
"<239.28 23:06:20> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [170]
"<239.28 23:06:20> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [171]
"<239.65 23:06:20> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [173]
"<240.68 23:06:21> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [175]
"<241.68 23:06:22> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [177]
"<242.72 23:06:23> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [179]
"<243.75 23:06:24> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [181]
"<244.75 23:06:25> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [183]
"<245.75 23:06:26> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [185]
"<246.78 23:06:27> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [187]
"<247.82 23:06:28> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [189]
"<248.85 23:06:29> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [191]
"<249.85 23:06:30> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [193]
"<250.85 23:06:31> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [195]
"<251.88 23:06:32> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [197]
"<252.92 23:06:33> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [199]
"<253.95 23:06:34> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [201]
"<254.95 23:06:35> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [203]
"<255.97 23:06:36> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [205]
"<257.00 23:06:37> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [207]
"<258.00 23:06:38> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [209]
"<258.44 23:06:39> [UPDATE_UI_WIDGET] widgetID:1670, widgetType:14, widgetSetID:1", -- [210]
"<259.03 23:06:39> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [212]
"<260.07 23:06:40> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [214]
"<261.07 23:06:41> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [216]
"<262.10 23:06:42> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [218]
"<263.12 23:06:43> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [220]
"<264.13 23:06:44> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [222]
"<265.17 23:06:45> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [224]
"<266.18 23:06:46> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [226]
"<267.21 23:06:47> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [228]
"<268.23 23:06:48> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [230]
"<269.25 23:06:49> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [232]
"<270.26 23:06:50> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [234]
"<271.29 23:06:52> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [236]
"<272.28 23:06:53> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [238]
"<273.32 23:06:54> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [240]
"<274.33 23:06:55> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [242]
"<275.36 23:06:56> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [244]
"<276.39 23:06:57> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [246]
"<277.39 23:06:58> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [248]
"<278.42 23:06:59> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [250]
"<279.46 23:07:00> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [252]
"<280.49 23:07:01> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [254]
"<281.52 23:07:02> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [256]
"<282.52 23:07:03> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [258]
"<283.56 23:07:04> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [260]
"<284.59 23:07:05> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [262]
"<285.60 23:07:06> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [264]
"<286.62 23:07:07> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [266]
"<287.64 23:07:08> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [268]
"<288.75 23:07:09> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [270]
"<289.68 23:07:10> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [272]
"<290.68 23:07:11> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [274]
"<291.70 23:07:12> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [276]
"<292.70 23:07:13> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [278]
"<293.70 23:07:14> [UPDATE_UI_WIDGET] widgetID:2031, widgetType:4, widgetSetID:249", -- [280]
