"<8.74 11:28:55> [START_TIMER] 1#102#120", -- [1]
"<18.75 11:29:05> [START_TIMER] 1#92#120", -- [2]
"<28.75 11:29:15> [START_TIMER] 1#82#120", -- [3]
"<38.76 11:29:25> [START_TIMER] 1#72#120", -- [4]
"<48.76 11:29:35> [START_TIMER] 1#62#120", -- [5]
"<51.55 11:29:38> [CHAT_MSG_BG_SYSTEM_NEUTRAL] The battle begins in 1 minute!######0#0##0#1129#nil#0#false#false#false#false", -- [6]
"<58.78 11:29:45> [START_TIMER] 1#52#120", -- [7]
"<68.77 11:29:55> [START_TIMER] 1#42#120", -- [8]
"<78.78 11:30:05> [START_TIMER] 1#32#120", -- [9]
"<81.54 11:30:08> [CHAT_MSG_BG_SYSTEM_NEUTRAL] The battle begins in 30 seconds!######0#0##0#1134#nil#0#false#false#false#false", -- [10]
"<88.79 11:30:15> [START_TIMER] 1#22#120", -- [11]
"<98.80 11:30:25> [START_TIMER] 1#12#120", -- [12]
"<111.51 11:30:38> [CHAT_MSG_BG_SYSTEM_NEUTRAL] The battle has begun!######0#0##0#1137#nil#0#false#false#false#false", -- [13]
"<124.60 11:30:51> [UPDATE_UI_WIDGET] widgetID:1683, widgetType:14, widgetSetID:1", -- [14]
"<124.61 11:30:51> [CHAT_MSG_BG_SYSTEM_NEUTRAL] Developaws-Terokkar has taken the |cFF01DFD7Blue|r orb!####Developaws-Terokkar##0#0##0#1138#nil#0#false#false#false#false", -- [15]
"<125.39 11:30:51> [UPDATE_UI_WIDGET] widgetID:1683, widgetType:14, widgetSetID:1", -- [16]
"<125.40 11:30:51> [CHAT_MSG_BG_SYSTEM_ALLIANCE] Energyslayer-Dunemaul has taken the |cFFFF8000Orange|r orb!####Energyslayer-Dunemaul##0#0##0#1139#nil#0#false#false#false#false", -- [17]
"<126.52 11:30:53> [UPDATE_UI_WIDGET] widgetID:1689, widgetType:3, widgetSetID:1", -- [18]
"<126.52 11:30:53> [UPDATE_UI_WIDGET] widgetID:2037, widgetType:4, widgetSetID:249", -- [19]
"<126.52 11:30:53> [UPDATE_UI_WIDGET] widgetID:1689, widgetType:3, widgetSetID:1", -- [20]
"<126.52 11:30:53> [UPDATE_UI_WIDGET] widgetID:2037, widgetType:4, widgetSetID:249", -- [21]
"<126.54 11:30:53> [UPDATE_UI_WIDGET] widgetID:1683, widgetType:14, widgetSetID:1", -- [22]
"<126.55 11:30:53> [CHAT_MSG_BG_SYSTEM_HORDE] Ðfêncê-Alleria has taken the |cFF01DF01Green|r orb!####Ðfêncê-Alleria##0#0##0#1140#nil#0#false#false#false#false", -- [23]
"<126.60 11:30:53> [UPDATE_UI_WIDGET] widgetID:1683, widgetType:14, widgetSetID:1", -- [24]
"<126.61 11:30:53> [CHAT_MSG_BG_SYSTEM_HORDE] Loajani-Blackrock has taken the |cFFBF00FFPurple|r orb!####Loajani-Blackrock##0#0##0#1141#nil#0#false#false#false#false", -- [25]
"<131.52 11:30:58> [UPDATE_UI_WIDGET] widgetID:1689, widgetType:3, widgetSetID:1", -- [26]
"<131.52 11:30:58> [UPDATE_UI_WIDGET] widgetID:2038, widgetType:4, widgetSetID:249", -- [27]
"<131.52 11:30:58> [UPDATE_UI_WIDGET] widgetID:1689, widgetType:3, widgetSetID:1", -- [28]
"<131.52 11:30:58> [UPDATE_UI_WIDGET] widgetID:2038, widgetType:4, widgetSetID:249", -- [29]
"<131.52 11:30:58> [UPDATE_UI_WIDGET] widgetID:1689, widgetType:3, widgetSetID:1", -- [30]
