"<3.08 23:14:39> [START_TIMER] 1#102#120", -- [1]
"<13.11 23:14:49> [START_TIMER] 1#92#120", -- [2]
"<23.14 23:14:59> [START_TIMER] 1#82#120", -- [3]
"<33.14 23:15:09> [START_TIMER] 1#72#120", -- [4]
"<43.10 23:15:19> [START_TIMER] 1#62#120", -- [5]
"<53.11 23:15:29> [START_TIMER] 1#52#120", -- [6]
"<63.11 23:15:39> [START_TIMER] 1#42#120", -- [7]
"<73.14 23:15:49> [START_TIMER] 1#32#120", -- [8]
"<83.18 23:15:59> [START_TIMER] 1#21#120", -- [9]
"<93.18 23:16:09> [START_TIMER] 1#11#120", -- [10]
"<105.19 23:16:21> [UPDATE_UI_WIDGET] [6] Time Remaining: 00:00, dynamicTooltip:, textureKitID:0, orderIndex:0, state:1, inAnimType:0, widgetTag:, hasTimer:true, outAnimType:0, widgetSizeSetting:0, frameTextureKitID:0, tooltip:", -- [11]
"<105.19 23:16:21> [UPDATE_UI_WIDGET] [6] Time Remaining: 15:01, dynamicTooltip:, textureKitID:0, orderIndex:0, state:1, inAnimType:0, widgetTag:, hasTimer:true, outAnimType:0, widgetSizeSetting:0, frameTextureKitID:0, tooltip:", -- [12]
"<154.16 23:17:10> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [13]
"<156.49 23:17:12> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [14]
"<330.65 23:20:07> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [15]
"<334.14 23:20:10> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [16]
"<336.33 23:20:12> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [17]
"<392.50 23:21:08> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [18]
"<393.76 23:21:10> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [19]
"<402.09 23:21:18> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [20]
"<404.09 23:21:20> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [21]
"<414.62 23:21:31> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [22]
"<414.95 23:21:31> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [23]
"<417.99 23:21:34> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [24]
"<424.02 23:21:40> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [25]
"<425.23 23:21:41> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [26]
"<427.88 23:21:44> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [27]
"<436.60 23:21:53> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [28]
"<439.43 23:21:55> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [29]
"<465.99 23:22:22> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [30]
"<682.58 23:25:59> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [31]
"<684.12 23:26:00> [UPDATE_UI_WIDGET] widgetID:1640, widgetType:14, widgetSetID:1", -- [32]
